pre_body_id,post_body_id,synapse_count,confidence,neuropil
187792,10893,12,0.963,central_complex
187792,10353,15,0.896,central_complex
187792,10303,10,0.879,central_complex
187792,10436,35,0.857,central_complex
187792,10029,11,0.949,central_complex
187792,10682,51,0.969,central_complex
187792,10663,5,0.85,central_complex
187792,10328,13,0.854,central_complex
187792,10902,41,0.914,central_complex
187792,10974,11,0.934,central_complex
187792,11560,24,0.867,central_complex
187792,11586,108,0.989,central_complex
187792,11665,13,0.989,central_complex
187792,13924,50,0.863,central_complex
187792,10709,11,0.884,central_complex
187792,13238,33,0.942,central_complex
187792,12123,16,0.958,central_complex
187792,11526,20,0.968,central_complex
187792,13080,22,0.91,central_complex
187792,12327,19,0.882,central_complex
187792,10987,11,0.898,central_complex
187792,10393,52,0.86,central_complex
187792,11626,2,0.893,central_complex
187792,12954,4,0.938,central_complex
187792,13563,16,0.926,central_complex
187792,521241,9,0.864,central_complex
187792,10717,4,0.905,central_complex
187792,12686,44,0.958,central_complex
187792,536501,49,0.944,central_complex
187792,11133,26,0.914,central_complex
187792,10729,59,0.858,central_complex
187792,15288,6,0.934,central_complex
187792,12215,59,0.885,central_complex
187792,12533,9,0.889,central_complex
187792,10688,2,0.928,central_complex
187792,374042364,37,0.914,central_complex
187792,14886,24,0.895,central_complex
187792,10948,26,0.861,central_complex
187792,14903,36,0.896,central_complex
187792,512903,25,0.987,central_complex
187792,13991,3,0.986,central_complex
10051,10011,1,0.914,central_complex
10051,10208,28,0.94,central_complex
10051,10096,10,0.907,central_complex
10051,10321,2,0.87,central_complex
10051,10777,3,0.987,central_complex
10051,10877,17,0.947,central_complex
10051,10736,4,0.881,central_complex
10051,11952,5,0.878,central_complex
10051,536048,9,0.871,central_complex
10051,11908,9,0.853,central_complex
10051,11517,39,0.872,central_complex
10051,10916,3,0.907,central_complex
10051,529429,65,0.905,central_complex
10051,525959,29,0.885,central_complex
10051,555383,28,0.954,central_complex
10051,10477,10,0.972,central_complex
10051,10397,48,0.987,central_complex
10051,11105,28,0.86,central_complex
10051,519944,13,0.851,central_complex
10051,521059,39,0.919,central_complex
10051,10702,27,0.886,central_complex
10051,11531,55,0.903,central_complex
10051,11359,50,0.888,central_complex
10051,533590,18,0.973,central_complex
10051,11321,2,0.934,central_complex
10051,521935,38,0.858,central_complex
10051,11099,31,0.912,central_complex
10051,23401,11,0.879,central_complex
10051,11785,50,0.961,central_complex
10051,10704,16,0.965,central_complex
10051,10602,56,0.973,central_complex
10051,102545,1,0.879,central_complex
10051,11783,19,0.937,central_complex
10051,12031,9,0.85,central_complex
10051,519371,7,0.864,central_complex
10051,12715,11,0.952,central_complex
10051,13119,3,0.906,central_complex
10051,524166,19,0.912,central_complex
10051,16527,22,0.975,central_complex
10051,11447,3,0.979,central_complex
10051,519877,20,0.898,central_complex
10051,12061,20,0.98,central_complex
10051,14925,22,0.889,central_complex
10051,13479,18,0.885,central_complex
10051,11681,13,0.921,central_complex
10051,10698,3,0.97,central_complex
10051,10075,15,0.854,central_complex
10051,11126,17,0.861,central_complex
10051,527469,16,0.867,central_complex
10051,13230,9,0.91,central_complex
10051,13431,17,0.923,central_complex
10051,521529,25,0.91,central_complex
10051,514988,4,0.92,central_complex
10051,555382,1,0.952,central_complex
10051,521219,11,0.955,central_complex
10051,523828,7,0.962,central_complex
10051,22122,1,0.879,central_complex
10051,13529,5,0.907,central_complex
10046,10314,37,0.856,central_complex
10046,10298,13,0.879,central_complex
10046,10273,47,0.959,central_complex
10046,10443,47,0.886,central_complex
10046,10630,7,0.906,central_complex
10046,12706,14,0.863,central_complex
10046,11734,44,0.889,central_complex
10046,13018,31,0.947,central_complex
10046,10317,20,0.882,central_complex
10046,11945,6,0.942,central_complex
10046,10750,45,0.863,central_complex
10046,13158,27,0.982,central_complex
10046,11368,24,0.979,central_complex
10046,529811,5,0.865,central_complex
10046,11268,17,0.912,central_complex
10046,11702,1,0.878,central_complex
10046,555837,8,0.955,central_complex
10046,11967,15,0.868,central_complex
10046,11779,23,0.858,central_complex
10046,519917,14,0.972,central_complex
10046,10645,13,0.979,central_complex
10046,10487,2,0.969,central_complex
10046,513434,5,0.85,central_complex
10046,10234,6,0.87,central_complex
10046,12693,2,0.851,central_complex
10046,530938,12,0.917,central_complex
10046,14830,49,0.916,central_complex
10046,12923,4,0.935,central_complex
10046,10373,46,0.905,central_complex
10046,11985,3,0.958,central_complex
10046,10002,8,0.877,central_complex
10046,12893,25,0.87,central_complex
10046,517101,2,0.976,central_complex
10046,18264,21,0.94,central_complex
10046,10963,17,0.86,central_complex
10046,10245,1,0.906,central_complex
10046,12452,11,0.877,central_complex
10046,20233,53,0.961,central_complex
10046,12697,37,0.899,central_complex
10046,11487,8,0.945,central_complex
10046,12191,2,0.903,central_complex
10046,19850,4,0.92,central_complex
10046,11178,12,0.867,central_complex
10046,515029,6,0.885,central_complex
10046,13769,8,0.944,central_complex
10046,517788,12,0.87,central_complex
10046,43756,17,0.979,central_complex
10260,10088,22,0.965,central_complex
10260,10608,36,0.982,central_complex
10260,20418,17,0.917,central_complex
10260,11532,6,0.934,central_complex
10260,10616,36,0.982,central_complex
10260,12943,22,0.93,central_complex
10260,517193,16,0.907,central_complex
10260,10038,5,0.977,central_complex
10260,11672,9,0.891,central_complex
10260,11945,37,0.871,central_complex
10260,10750,27,0.854,central_complex
10260,13244,4,0.91,central_complex
10260,521026,14,0.851,central_complex
10260,11311,15,0.881,central_complex
10260,10666,30,0.984,central_complex
10260,11456,11,0.931,central_complex
10260,12262,22,0.868,central_complex
10260,521028,29,0.885,central_complex
10260,10823,23,0.982,central_complex
10260,10987,2,0.983,central_complex
10260,521624,38,0.903,central_complex
10260,11353,10,0.896,central_complex
10260,11886,19,0.896,central_complex
10260,11189,6,0.948,central_complex
10260,519444,8,0.954,central_complex
10260,11170,10,0.989,central_complex
10260,11893,57,0.973,central_complex
10260,12903,5,0.878,central_complex
10260,11925,1,0.864,central_complex
10260,12954,13,0.872,central_complex
10260,12628,9,0.871,central_complex
10260,14935,8,0.952,central_complex
10260,12186,22,0.899,central_complex
10260,11141,27,0.947,central_complex
10260,521317,22,0.898,central_complex
10260,13851,4,0.856,central_complex
10260,20233,3,0.916,central_complex
10260,10624,39,0.902,central_complex
10260,11340,18,0.868,central_complex
10260,12235,8,0.898,central_complex
10260,10076,12,0.926,central_complex
10260,47726,4,0.942,central_complex
10260,13877,6,0.948,central_complex
10260,13384,6,0.941,central_complex
10260,13896,16,0.961,central_complex
10260,14330,4,0.954,central_complex
10260,519296,26,0.941,central_complex
10260,11801,26,0.891,central_complex
10260,17846,13,0.886,central_complex
10093,10503,6,0.976,descending_vnc
10093,10308,35,0.856,descending_vnc
10093,11394,14,0.954,descending_vnc
10093,10974,18,0.958,descending_vnc
10093,12396,6,0.914,descending_vnc
10093,11863,2,0.951,descending_vnc
10093,13532,5,0.853,descending_vnc
10093,10237,6,0.912,descending_vnc
10093,521241,3,0.923,descending_vnc
10093,536501,1,0.892,descending_vnc
10072,10011,8,0.858,central_complex
10072,10138,2,0.895,central_complex
10072,10084,41,0.875,central_complex
10072,10322,37,0.884,central_complex
10072,10423,3,0.983,central_complex
10072,10864,32,0.898,central_complex
10072,524883,7,0.856,central_complex
10072,10825,64,0.875,central_complex
10072,10057,2,0.899,central_complex
10072,11722,10,0.867,central_complex
10072,10591,5,0.853,central_complex
10072,10658,13,0.924,central_complex
10072,10402,27,0.972,central_complex
10072,10226,19,0.916,central_complex
10072,11280,17,0.973,central_complex
10072,11723,4,0.864,central_complex
10072,520194,8,0.982,central_complex
10072,523821,12,0.951,central_complex
10072,12625,22,0.861,central_complex
10072,520817,39,0.987,central_complex
10072,11764,3,0.977,central_complex
10072,10489,7,0.886,central_complex
10072,17484,4,0.945,central_complex
10072,16141,37,0.942,central_complex
10072,14266,43,0.902,central_complex
10072,12310,3,0.906,central_complex
10072,12900,2,0.97,central_complex
10072,10629,17,0.928,central_complex
10072,11401,8,0.851,central_complex
10072,522815,18,0.903,central_complex
10072,12166,38,0.941,central_complex
10072,512547,29,0.959,central_complex
10072,13725,7,0.921,central_complex
10072,12600,13,0.87,central_complex
10072,524406,2,0.85,central_complex
10072,17823,16,0.872,central_complex
10072,12511,2,0.965,central_complex
10066,11394,4,0.963,descending_vnc
10066,10914,2,0.965,descending_vnc
10066,11586,5,0.91,descending_vnc
10066,10335,14,0.975,descending_vnc
10066,13238,2,0.888,descending_vnc
10066,13080,4,0.871,descending_vnc
10066,10237,2,0.982,descending_vnc
10066,551781,3,0.963,descending_vnc
10066,10283,3,0.945,descending_vnc
10066,12215,2,0.907,descending_vnc
10066,14903,3,0.91,descending_vnc
10066,14610,1,0.861,descending_vnc
10066,13299,1,0.879,descending_vnc
10009,10051,10,0.954,central_complex
10009,10011,5,0.917,central_complex
10009,10459,8,0.914,central_complex
10009,10061,38,0.941,central_complex
10009,10265,2,0.947,central_complex
10009,10652,1,0.865,central_complex
10009,10670,7,0.868,central_complex
10009,11602,6,0.983,central_complex
10009,11264,7,0.881,central_complex
10009,10414,25,0.916,central_complex
10009,23893,24,0.874,central_complex
10009,10111,37,0.857,central_complex
10009,536048,6,0.955,central_complex
10009,10226,4,0.882,central_complex
10009,10107,1,0.864,central_complex
10009,529665,6,0.93,central_complex
10009,11135,6,0.877,central_complex
10009,519624,5,0.909,central_complex
10009,10359,24,0.905,central_complex
10009,521584,1,0.888,central_complex
10009,12031,9,0.885,central_complex
10009,519371,2,0.874,central_complex
10009,11447,3,0.885,central_complex
10009,14982,8,0.879,central_complex
10009,14161,4,0.947,central_complex
10009,12050,27,0.898,central_complex
10009,10528,1,0.903,central_complex
10009,16530,2,0.989,central_complex
10009,12460,10,0.879,central_complex
10009,524159,3,0.917,central_complex
10009,13959,1,0.951,central_complex
10351,10352,43,0.891,central_complex
10351,10323,3,0.853,central_complex
10351,10696,7,0.907,central_complex
10351,10707,1,0.965,central_complex
10351,11046,3,0.965,central_complex
10351,514230,19,0.858,central_complex
10351,10121,16,0.966,central_complex
10351,11266,1,0.941,central_complex
10351,524521,21,0.933,central_complex
10351,11009,1,0.969,central_complex
10351,11113,12,0.913,central_complex
10351,519420,1,0.881,central_complex
10351,11282,4,0.851,central_complex
10351,12168,26,0.891,central_complex
10351,10637,6,0.853,central_complex
10351,12912,7,0.938,central_complex
10351,516097,9,0.984,central_complex
10351,523438,5,0.879,central_complex
10351,12914,2,0.98,central_complex
10351,530155,5,0.892,central_complex
10351,521241,33,0.874,central_complex
10351,10920,13,0.98,central_complex
10351,12402,26,0.861,central_complex
10351,11690,26,0.863,central_complex
10351,12394,24,0.945,central_complex
10351,512690,2,0.892,central_complex
10351,41144,17,0.896,central_complex
10351,12660,2,0.85,central_complex
10351,12533,15,0.854,central_complex
10351,13113,4,0.98,central_complex
10351,12538,4,0.962,central_complex
10351,11110,17,0.927,central_complex
10351,12639,4,0.973,central_complex
10351,13588,2,0.906,central_complex
10351,13414,14,0.923,central_complex
10351,11031,1,0.892,central_complex
10351,13776,4,0.934,central_complex
10351,14886,15,0.896,central_complex
10351,10948,12,0.853,central_complex
10351,12240,3,0.906,central_complex
10351,13329,6,0.881,central_complex
10351,13367,9,0.969,central_complex
10351,15178,4,0.949,central_complex
10351,13299,4,0.875,central_complex
10351,10374,30,0.9,central_complex
10351,15910,37,0.874,central_complex
10351,12145,8,0.851,central_complex
10351,10623,21,0.891,central_complex
10185,10175,6,0.864,central_complex
10185,10187,18,0.871,central_complex
10185,11608,6,0.85,central_complex
10185,11419,12,0.986,central_complex
10185,11302,5,0.919,central_complex
10185,10673,10,0.858,central_complex
10185,10135,15,0.916,central_complex
10185,11336,21,0.87,central_complex
10185,10247,20,0.895,central_complex
10185,12230,19,0.938,central_complex
10185,10274,5,0.938,central_complex
10185,10959,9,0.942,central_complex
10185,12972,30,0.945,central_complex
10185,20652,11,0.91,central_complex
10185,10746,33,0.986,central_complex
10185,555827,4,0.942,central_complex
10185,34402,3,0.965,central_complex
10185,11071,3,0.903,central_complex
10185,513146,14,0.917,central_complex
10185,10159,21,0.927,central_complex
10185,11475,25,0.914,central_complex
10185,12808,14,0.899,central_complex
10185,230783,23,0.86,central_complex
10185,10501,22,0.916,central_complex
10185,10520,47,0.961,central_complex
10185,13805,11,0.865,central_complex
10185,10872,33,0.986,central_complex
10011,10072,6,0.913,central_complex
10011,10204,52,0.945,central_complex
10011,10061,1,0.864,central_complex
